release.resource,release.version,table,name,collectionEvent,topics,label,format,unit,mandatory,description,exampleValues,comments,codes(TODO)
ALSPAC,1.0.0,core,FJMR025a,,,M17b: Fat percentage (%) [F17],continuous,percent,,Fat percentage from bioimpedence,,,
ALSPAC,1.0.0,core,FKAR0010,,,Age at clinic visit (in months): F@24,continuous,month,,Child's age in months,,,
ALSPAC,1.0.0,core,FKAR0011,,,Age at clinic visit (in years): F@24,continuous,year,,Child's age in years,,,
ALSPAC,1.0.0,core,FKLF1000,,,Forced vital capacity (FVC) pre-salbutamol (L): F@24,continuous,litre,,Pre-salbutamol FVC,,,
ALSPAC,1.0.0,core,FKLF1001,,,Forced expiratory volume (FEV) in 1 second pre-salbutamol (L): F@24,continuous,litre,,Pre-salbutamol FEV,,,
ALSPAC,1.0.0,core,FKLF1004,,,Forced expiratory flow (FEF) 25 pre-salbutamol (L/Sec): F@24,continuous,litres/second,,Pre-salbutamol FEF25,,,
ALSPAC,1.0.0,core,FKLF1005,,,Forced expiratory flow (FEF) 50 pre-salbutamol (L/Sec): F@24,continuous,litres/second,,Pre-salbutamol FEF50,,,
ALSPAC,1.0.0,core,FKLF1006,,,Forced expiratory flow (FEF) 75 pre-salbutamol (L/Sec): F@24,continuous,litres/second,,Pre-salbutamol FEF75,,,
ALSPAC,1.0.0,core,FKMS1000,,,Standing height (mm): F@24,continuous,mm,,Child's height in mm,,,
ALSPAC,1.0.0,core,f_soc90_m,,,Standard Occupation Classification 1990 (mother),categorical,,,To create occupational code classifications the computerised text strings were processed using the CASCOT (Computer Assisted Structured COding Tool) software programme by utilising automatic and semi-automatic processing to assign standard occupational classification 1990 codes (SOC 1990) to entries.,,,
ALSPAC,1.0.0,core,f_soc90_ptnr_pp,,,Standard Occupation Classification 1990 (partner proxy),categorical,,,To create occupational code classifications the computerised text strings were processed using the CASCOT (Computer Assisted Structured COding Tool) software programme by utilising automatic and semi-automatic processing to assign standard occupational classification 1990 codes (SOC 1990) to entries.,,,
ALSPAC,1.0.0,core,g308a,,,Mum divorced >CH8MTHs,binary,,,Since the baby was 8 months old have you been divorced?,,,
ALSPAC,1.0.0,core,g317a,,,Mum and partner seperated >CH8MTHs,binary,,,Since the baby was 8 months old have you been separated?,,,
ALSPAC,1.0.0,core,g520,,,Present dad figure is natural dad of child,categorical,,,Is the present live-in father-figure the natural father of the study child?,,,
ALSPAC,1.0.0,core,g550,,,Mum has pets,binary,,,Do you have any pets?,,,
ALSPAC,1.0.0,core,g551,,,Number of cats in houshold,continuous,,,Number of cats in houshold,,,
ALSPAC,1.0.0,core,g552,,,Number of dogs in houshold,continuous,,,Number of dogs in houshold,,,
ALSPAC,1.0.0,core,g553,,,Number of rabits in houshold,continuous,,,Number of rabits in houshold,,,
ALSPAC,1.0.0,core,g554,,,Number of rodents in houshold,continuous,,,Number of rodents in houshold,,,
ALSPAC,1.0.0,core,g591,,,Partner lives with mum,categorical,,,Does your partner live with you?,,,
ALSPAC,1.0.0,core,g650,,,Partner employed,categorical,,,Is your partner employed?,,,
ALSPAC,1.0.0,core,g766,,,Mum still working,categorical,,,Are you still working?,,,
ALSPAC,1.0.0,core,g990,,,Age of child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,gesthyp,,,Gestational hypertension,binary,,,Gestational hypertension derived from linked medical records. Defined as hypertensive disorder of pregnancy but without preeclampsia (i.e. the same elevated blood pressure but with no concurrent proteinuria; note that it is possible that women defined as having gestational hypertension – i.e. fulfilling ISSHP for this – did have at least two episodes of at least 1+ proteinuria after 20 weeks of pregnancy but at a different time to when they were noted to have elevated blood pressure). In the database the ‘healthy’ (coded 0) group for this variable excludes those with preeclampsia but includes those with pre-existing hypertension.,,,
ALSPAC,1.0.0,core,Glucose_BBS,,,"Fasting glucose mmol/l, BBS",continuous,mmol/litre,,Fasting glucose,,,
ALSPAC,1.0.0,core,glucose_TF3,,,"Glucose mmol/l, TF3",continuous,mmol/litre,,Glucose,,,
ALSPAC,1.0.0,core,glucose_TF4,,,"Glucose mmol/l, TF4",continuous,mmol/litre,,Glucose,,,
ALSPAC,1.0.0,core,g_soc90_m,,,Standard Occupation Classification 1990 (mother),categorical,,,To create occupational code classifications the computerised text strings were processed using the CASCOT (Computer Assisted Structured COding Tool) software programme by utilising automatic and semi-automatic processing to assign standard occupational classification 1990 codes (SOC 1990) to entries.,,,
ALSPAC,1.0.0,core,g_soc90_ptnr_pp,,,Standard Occupation Classification 1990 (partner proxy),categorical,,,To create occupational code classifications the computerised text strings were processed using the CASCOT (Computer Assisted Structured COding Tool) software programme by utilising automatic and semi-automatic processing to assign standard occupational classification 1990 codes (SOC 1990) to entries.,,,
ALSPAC,1.0.0,core,h370,,,G1a1: No of adults over 18 yrs in home,continuous,,,How many adults (over 18 years) live in your household (including yourself)?,,,
ALSPAC,1.0.0,core,h371,,,G1a2: No of young adults in home,continuous,,,How many young adults (16-18 years) live in your household (including yourself)?,,,
ALSPAC,1.0.0,core,h372,,,G1a3: No of children < 16 yrs in home,continuous,,,"How many children (0-15 years, including your baby) live in your household?",,,
ALSPAC,1.0.0,core,h400,,,Pres father figure is dad of ch,categorical,,,Is the present live-in father-figure the biological (natural) father of the study child?,,,
ALSPAC,1.0.0,core,h442,,,G9a: Mum has pets,binary,,,Do you have any pets?,,,
ALSPAC,1.0.0,core,h443,,,Number of cats in houshold,continuous,,,Number of cats in houshold,,,
ALSPAC,1.0.0,core,h444,,,Number of dogs in houshold,continuous,,,Number of dogs in houshold,,,
ALSPAC,1.0.0,core,h445,,,Number of rabits in houshold,continuous,,,Number of rabits in houshold,,,
ALSPAC,1.0.0,core,h446,,,Number of rodents in houshold,continuous,,,Number of rodents in houshold,,,
ALSPAC,1.0.0,core,h481,,,H1b: Partner lives with mum,binary,,,Does your partner live with you?,,,
ALSPAC,1.0.0,core,h530,,,H6a: Partner is currently employed,binary,,,Is your partner employed?,,,
ALSPAC,1.0.0,core,h667,,,J3c: Mum is still working,categorical,,,Are you still working?,,,
ALSPAC,1.0.0,core,h991a,,,DV: Age of child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,HBA1C_f9,,,"HBA1C, Focus@9",continuous,percent,,HB1AC,,,
ALSPAC,1.0.0,core,HB_CIF12,,,"Haemoglobin, 12mth CIF",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,HB_CIF18,,,"Haemoglobin, 18mth CIF",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,HB_CIF31,,,"Haemoglobin, 31mth CIF",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,HB_CIF43,,,"Haemoglobin, 43mth CIF",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,HB_CIF61,,,"Haemoglobin, 61mth CIF",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,HB_CIF8,,,"Haemoglobin, 8mth CIF",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,hb_F11,,,"Haemoglobin, Focus11",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,hb_F7,,,"Haemoglobin, Focus@7",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,hb_F9,,,"Haemoglobin, Focus@9",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,Hb_TF2,,,"Haemoglobin, TF2",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,Hb_TF3,,,"Haemoglobin, TF3",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,Hb_TF4,,,"Haemoglobin, TF4",continuous,gram/litre,,Haemoglobin,,,
ALSPAC,1.0.0,core,HDL_BBS,,,"HDL mmol/l, BBS",continuous,mmol/litre,,HDLc,,,
ALSPAC,1.0.0,core,HDL_CIF31,,,"HDL mmol/l, 31mth CIF",continuous,mmol/litre,,HDLc,,,
ALSPAC,1.0.0,core,HDL_CIF43,,,"HDL mmol/l, 43mth CIF",continuous,mmol/litre,,HDLc,,,
ALSPAC,1.0.0,core,HDL_cord,,,"High-density lipoprotein (HDL) mmol/L, cord",continuous,mmol/litre,,HDLc from cord,,,
ALSPAC,1.0.0,core,HDL_F7,,,"HDL mmol/l, Focus@7",continuous,mmol/litre,,HDLc,,,
ALSPAC,1.0.0,core,HDL_f9,,,"HDL mmol/l, Focus@9",continuous,mmol/litre,,HDLc,,,
ALSPAC,1.0.0,core,hdl_TF3,,,"HDL mmol/l, TF3",continuous,mmol/litre,,HDLc,,,
ALSPAC,1.0.0,core,HDL_TF4,,,"HDL mmol/l, TF4",continuous,mmol/litre,,HDLc,,,
ALSPAC,1.0.0,core,h_soc90_m,,,Standard Occupation Classification 1990 (mother),categorical,,,To create occupational code classifications the computerised text strings were processed using the CASCOT (Computer Assisted Structured COding Tool) software programme by utilising automatic and semi-automatic processing to assign standard occupational classification 1990 codes (SOC 1990) to entries.,,,
ALSPAC,1.0.0,core,h_soc90_ptnr_pp,,,Standard Occupation Classification 1990 (partner proxy),categorical,,,To create occupational code classifications the computerised text strings were processed using the CASCOT (Computer Assisted Structured COding Tool) software programme by utilising automatic and semi-automatic processing to assign standard occupational classification 1990 codes (SOC 1990) to entries.,,,
ALSPAC,1.0.0,core,IL6_f9,,,"Interleukin 6 pg/ml, Focus@9",continuous,pg/ml,,Interleukin,,,
ALSPAC,1.0.0,core,Insulin_BBS,,,"Fasting insulin mu/l, BBS",continuous,mu/litre,,Fasting insulin,,,
ALSPAC,1.0.0,core,Insulin_cord,,,"Insulin mu/L, Cord Blood",continuous,mu/litre,,Insulin from cord,,,
ALSPAC,1.0.0,core,insulin_F9,,,"Insulin mU/L, Focus@9",continuous,mu/litre,,Insulin,,,
ALSPAC,1.0.0,core,insulin_preg,,,Insulin in pregnancy,binary,,,Mother reported taking insulin during pregnancy,,,
ALSPAC,1.0.0,core,insulin_TF3,,,"Insulin mu/l, TF3",continuous,mu/litre,,Insulin,,,
ALSPAC,1.0.0,core,insulin_TF4,,,"Insulin mu/l, TF4",continuous,mu/litre,,Insulin,,,
ALSPAC,1.0.0,core,j308a,,,MUM Divorced> CH 30 MTHs  y/n,binary,,,Since the study child was 8 months old have you been divorced?,,,
ALSPAC,1.0.0,core,j317a,,,MUM & Partner Separated> CH 30 MTHs  y/n,binary,,,Since the study child was 8 months old have you been separated?,,,
ALSPAC,1.0.0,core,j350,,,MUM Currently Employed,binary,,,Are you currently employed,,,
ALSPAC,1.0.0,core,j360,,,NO of Adults Over 18 YRs in Home,continuous,,,How many adults (over 18 years) live in your household (including yourself)?,,,
ALSPAC,1.0.0,core,j361,,,NO of Young Adults in Home,continuous,,,How many young adults (16-18 years) live in your household (including yourself)?,,,
ALSPAC,1.0.0,core,j362,,,NO of Children< 16 YRs in Home,continuous,,,"How many children (0-15 years, including your baby) live in your household?",,,
ALSPAC,1.0.0,core,j374,,,Biological Father Lives With Child,binary,,,Does the biological (natural) father of the study child live with the study child?,,,
ALSPAC,1.0.0,core,j395,,,MUM has Pets,binary,,,Do you have any pets?,,,
ALSPAC,1.0.0,core,j396,,,Number of cats in houshold,continuous,,,Number of cats in houshold,,,
ALSPAC,1.0.0,core,j397,,,Number of dogs in houshold,continuous,,,Number of dogs in houshold,,,
ALSPAC,1.0.0,core,j398,,,Number of rabits in houshold,continuous,,,Number of rabits in houshold,,,
ALSPAC,1.0.0,core,j399,,,Number of rodents in houshold,continuous,,,Number of rodents in houshold,,,
ALSPAC,1.0.0,core,j531,,,SDQ: Child is restless,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,j532,,,SDQ: Child often complains of aches,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,j534,,,SDQ: Child has temper tantrums,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,j535,,,SDQ: Child is solitary,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,j536,,,SDQ: Child is obedient,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,j537,,,SDQ:  Child often worries,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,j539,,,SDQ: Child is fidgety,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,j540,,,SDQ: Child has at least 1 friend,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,j541,,,SDQ: Child often fights with others,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,j542,,,SDQ: Child is often unhappy,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,j543,,,SDQ: Child is liked by other children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,j544,,,SDQ: Child is easily distracted,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,j545,,,SDQ: Child is nervous in new situations,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,j547,,,SDQ: Child often cheats or lies ,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,j548,,,SDQ: Child is bullied,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,j550,,,SDQ: Child things before acting,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,j551,,,SDQ: Child steals from home,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,j552,,,SDQ: Child prefers adults to children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,j553,,,SDQ: Child has many fears,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,j554,,,SDQ: Child has good attention,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,j601,,,Partner Lives With MUM,binary,,,Does your partner live with you?,,,
ALSPAC,1.0.0,core,j632,,,Partner is Currently Employed,binary,,,Is your partner employed?,,,
ALSPAC,1.0.0,core,j914,,,Age of study child at completion (months),continuous,year,,"Exact age of the child in years, calculated from child date of birth and date of completing questionnaire",,,
ALSPAC,1.0.0,core,j_soc90_m,,,Standard Occupation Classification 1990 (mother),categorical,,,To create occupational code classifications the computerised text strings were processed using the CASCOT (Computer Assisted Structured COding Tool) software programme by utilising automatic and semi-automatic processing to assign standard occupational classification 1990 codes (SOC 1990) to entries.,,,
ALSPAC,1.0.0,core,j_soc90_ptnr_pp,,,Standard Occupation Classification 1990 (partner proxy),categorical,,,To create occupational code classifications the computerised text strings were processed using the CASCOT (Computer Assisted Structured COding Tool) software programme by utilising automatic and semi-automatic processing to assign standard occupational classification 1990 codes (SOC 1990) to entries.,,,
ALSPAC,1.0.0,core,k4008,,,D9: Mother was divorced in past year,categorical,,,In the past year have you been divorced?,,,
ALSPAC,1.0.0,core,k4017,,,D18: Mother and partner separated in past year,categorical,,,In the past year have you been divorced?,,,
ALSPAC,1.0.0,core,k6000,,,F1a: Mother has worked in past year,categorical,,,In the last year have you worked at all?,,,
ALSPAC,1.0.0,core,k6002,,,F1c: Mother is still working,categorical,,,Are you still working?,,,
ALSPAC,1.0.0,core,k6280,,,F19a1: Mother has no educational qualification,binary,,,Mother reported having no educational qualification,,,
ALSPAC,1.0.0,core,k6281,,,"F19b1: Mother has CSE/GCSE (D,E,F,G)",binary,,,"Mother reported having CSE/GCSE (D,E,F,G)",,,
ALSPAC,1.0.0,core,k6282,,,"F19c1: Mother has O-level/GCSE (A,B,C)",binary,,,"Mother reported having O-level/GCSE (A,B,C)",,,
ALSPAC,1.0.0,core,k6283,,,F19d1: Mother has A-levels,binary,,,Mother reported having A-levels,,,
ALSPAC,1.0.0,core,k6284,,,F19e1: Mother has vocational qualification,binary,,,Mother reported having a vocational qualification,,,
ALSPAC,1.0.0,core,k6285,,,F19f1: Mother has done apprenticeship,binary,,,Mother reported having done apprenticeship,,,
ALSPAC,1.0.0,core,k6286,,,F19g1: Mother is a state enrolled nurse,binary,,,Mother reported being a state enrolled nurse,,,
ALSPAC,1.0.0,core,k6287,,,F19h1: Mother is a state registered nurse,binary,,,Mother reported being a state registered nurse,,,
ALSPAC,1.0.0,core,k6288,,,F19i1: Mother has City & Guilds intermediate technical qualification,binary,,,Mother reported having a City & Guilds intermediate technical qualification,,,
ALSPAC,1.0.0,core,k6289,,,F19j1: Mother has City & Guilds final technical qualification,binary,,,Mother reported having a City & Guilds final technical qualification,,,
ALSPAC,1.0.0,core,k6290,,,F19k1: Mother has City & Guilds full technical qualification,binary,,,Mother reported having a City & Guilds full technical qualification,,,
ALSPAC,1.0.0,core,k6291,,,F19l1: Mother has a teaching qualification,binary,,,Mother reported having a teaching qualification,,,
ALSPAC,1.0.0,core,k6292,,,F19m1: Mother has a university degree,binary,,,Mother reported having a university degree,,,
ALSPAC,1.0.0,core,k6293,,,F19n1: Mothers educational qualifications not known,binary,,,Mother's educational qualifications not known,,,
ALSPAC,1.0.0,core,k6295,,,F19p1: Mother has other educational qualification,binary,,,Mother reported having other educational qualifications,,,
ALSPAC,1.0.0,core,k6300,,,F19a2: Partner has no educational qualification,binary,,,Mother reported partner has no educational qualification,,,
ALSPAC,1.0.0,core,k6301,,,"F19b2: Partner has CSE/GCSE (D,E,F,G)",binary,,,"Mother reported partner has CSE/GCSE (D,E,F,G)",,,
ALSPAC,1.0.0,core,k6302,,,"F19c2: Partner has O-level/GCSE (A,B,C)",binary,,,"Mother reported partner has O-level/GCSE (A,B,C)",,,
ALSPAC,1.0.0,core,k6303,,,F19d2: Partner has A-levels,binary,,,Mother reported partner has A-levels,,,
ALSPAC,1.0.0,core,k6304,,,F19e2: Partner has vocational qualification,binary,,,Mother reported partner has a vocational qualification,,,
ALSPAC,1.0.0,core,k6305,,,F19f2: Partner has done apprenticeship,binary,,,Mother reported partner has done apprenticeship,,,
ALSPAC,1.0.0,core,k6306,,,F19g2: Partner is a state enrolled nurse,binary,,,Mother reported partner is a state enrolled nurse,,,
ALSPAC,1.0.0,core,k6307,,,F19h2: Partner is a state registered nurse,binary,,,Mother reported partner is a state registered nurse,,,
ALSPAC,1.0.0,core,k6308,,,F19i2: Partner has City & Guilds intermediate technical qualification,binary,,,Mother reported partner has a City & Guilds intermediate technical qualification,,,
ALSPAC,1.0.0,core,k6309,,,F19j2: Partner has City & Guilds final technical qualification,binary,,,Mother reported partner has a City & Guilds final technical qualification,,,
ALSPAC,1.0.0,core,k6310,,,F19k2: Partner has City & Guilds full technical qualification,binary,,,Mother reported partner has a City & Guilds full technical qualification,,,
ALSPAC,1.0.0,core,k6311,,,F19l2: Partner has a teaching qualification,binary,,,Mother reported partner has a teaching qualification,,,
ALSPAC,1.0.0,core,k6312,,,F19m2: Partner has a university degree,binary,,,Mother reported partner has a university degree,,,
ALSPAC,1.0.0,core,k6315,,,F19p2: Partner has other educational qualification,binary,,,Mother reported partner has other educational qualification,,,
ALSPAC,1.0.0,core,k9991a,,,DV: Age of study child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,ka014,,,Admission to SCBU etc,binary,,,Was your baby admitted to a special care baby unit or neonatal intensive care unit or other hospital ward?,,,
ALSPAC,1.0.0,core,ka251,,,Rash in joints at present,binary,,,Whether baby currently has a rash in joints,,,
ALSPAC,1.0.0,core,ka257,,,Nappy rash at present,binary,,,Whether baby currently has nappy rash,,,
ALSPAC,1.0.0,core,ka498,,,Month of birth,continuous,month,,Age of child at completion of questionnaire,,,
ALSPAC,1.0.0,core,kb054,,,Has baby had a wheeze,categorical,,,Maternal report of child wheeze,,,
ALSPAC,1.0.0,core,kb074,,,Child had wheezing attacks,categorical,,,Maternal report of child wheeze,,,
ALSPAC,1.0.0,core,kb088,,,CH has this rash at PRES,categorical,,,Maternal report of child having rash in joints and creases of body,,,
ALSPAC,1.0.0,core,kb091,,,CH has this rash at PRES,categorical,,,Maternal report of child having oozing or crusted rash in joints and creases of body,,,
ALSPAC,1.0.0,core,kb094,,,CH has nappy rash at PRES,categorical,,,Maternal report of child having nappy rash,,,
ALSPAC,1.0.0,core,kb275,,,Ever breast-fed,categorical,,,Did you breast feed?,,,
ALSPAC,1.0.0,core,kb548,,,Time CH spends in smokers room on WKDAYS,categorical,,,Please indicate how often during the day the baby is in a room or enclosed place where people are smoking (weekdays),,,
ALSPAC,1.0.0,core,kb550,,,Time CH spends in smokers room at WKENDS,categorical,,,Please indicate how often during the day the baby is in a room or enclosed place where people are smoking (weekend),,,
ALSPAC,1.0.0,core,kb879a,,,Age of child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,kb901,,,DV: Fine motor score: 6 months: Complete cases,continuous,,,Denver Developmental Checklist - Fine motor score based on complete cases,,,
ALSPAC,1.0.0,core,kb902,,,DV: Communication score: 6 months: Complete cases,continuous,,,Denver Developmental Checklist - Communication motor score based on complete cases,,,
ALSPAC,1.0.0,core,kb903,,,DV: Gross motor score: 6 months: Complete cases,continuous,,,Denver Developmental Checklist - Gross motor score based on complete cases,,,
ALSPAC,1.0.0,core,kb906,,,DV: Fine motor core: 6 months: Prorated,continuous,,,Denver Developmental Checklist - Pro-rated fine motor score,,,
ALSPAC,1.0.0,core,kb907,,,DV: Communication score: 6 months: Prorated,continuous,,,Denver Developmental Checklist - Pro-rated communication score,,,
ALSPAC,1.0.0,core,kb908,,,DV: Gross motor score: 6 months: Prorated,continuous,,,Denver Developmental Checklist - Pro-rated gross motor score,,,
ALSPAC,1.0.0,core,kbagesolid,,,dvc4-c7: age started solids (mths),continuous,month,,Derived variable from diet and nutrition questions: age baby started solid food,,,
ALSPAC,1.0.0,core,kbdietm0,,,diet month 0,categorical,,,Derived variable from diet and nutrition questions: type of feeding in month 0,,,
ALSPAC,1.0.0,core,kbdietm1,,,diet month 1,categorical,,,Derived variable from diet and nutrition questions: type of feeding in month 1,,,
ALSPAC,1.0.0,core,kbdietm2,,,diet month 2,categorical,,,Derived variable from diet and nutrition questions: type of feeding in month 2,,,
ALSPAC,1.0.0,core,kbdietm3,,,diet month 3,categorical,,,Derived variable from diet and nutrition questions: type of feeding in month 3,,,
ALSPAC,1.0.0,core,kbdietm4,,,diet month 4,categorical,,,Derived variable from diet and nutrition questions: type of feeding in month 4,,,
ALSPAC,1.0.0,core,kbdietm5,,,diet month 5,categorical,,,Derived variable from diet and nutrition questions: type of feeding in month 5,,,
ALSPAC,1.0.0,core,kbdietm6,,,diet month 6,categorical,,,Derived variable from diet and nutrition questions: type of feeding in month 6,,,
ALSPAC,1.0.0,core,kc360,,,Passive smoke exposure - weekday,categorical,,,Please indicate how often during the day your child is in a room or enclosed place where people are smoking (weekdays),,,
ALSPAC,1.0.0,core,kc361,,,Passive smoke exposure - weekend,categorical,,,Please indicate how often during the day your child is in a room or enclosed place where people are smoking (weekend),,,
ALSPAC,1.0.0,core,kc401,,,Ever breast fed,categorical,,,Was the child ever breast fed?,,,
ALSPAC,1.0.0,core,kc403,,,Age stopped breast feeding,continuous,month,,How old was your baby when breast feeding stopped?,,,
ALSPAC,1.0.0,core,kc761,,,Childcare by grandparent,binary,,,"Apart from yourself, does a grandparent regularly look after your infant?",,,
ALSPAC,1.0.0,core,kc762,,,Childcare by other relative,binary,,,"Apart from yourself, does an other relative regularly look after your infant?",,,
ALSPAC,1.0.0,core,kc763,,,Childcare by friend,binary,,,"Apart from yourself, does a friend/neighbour regularly look after your infant?",,,
ALSPAC,1.0.0,core,kc764,,,Childcare by childminder,binary,,,"Apart from yourself, does a paid person outside baby's home (eg. child minder) regularly look after your infant?",,,
ALSPAC,1.0.0,core,kc765,,,Childcare by nanny/babysitter,binary,,,"Apart from yourself, does a paid person in baby's home (eg. nanny, baby sitter) regularly look after your infant?",,,
ALSPAC,1.0.0,core,kc766,,,Childcare by day nursery,binary,,,"Apart from yourself, does a day nursery (creche) regularly look after your infant?",,,
ALSPAC,1.0.0,core,kc767,,,Childcare by other,binary,,,"Apart from yourself, does anyone else regularly look after your infant?",,,
ALSPAC,1.0.0,core,kc997,,,Age in months at completion,continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,kd051a,,,Child had a wheeze since 6 months old,categorical,,,Maternal report of child having wheezed since 6 months old,,,
ALSPAC,1.0.0,core,kd070,,,Wheezing & Whistling on Chest since 6 MTHS,categorical,,,Maternal report of child wheezing or whistling since 6 months old,,,
ALSPAC,1.0.0,core,kd087,,,Child Has Rash at Present,categorical,,,Maternal report of child currently having rash,,,
ALSPAC,1.0.0,core,kd090,,,CH Has Oozing Rash at Present,categorical,,,Maternal report of child currently having oozing rash,,,
ALSPAC,1.0.0,core,kd677,,,DV:  Fine motor score: 18 months: Complete cases,continuous,,,Denver Developmental Checklist - Fine motor score based on complete cases,,,
ALSPAC,1.0.0,core,kd678,,,DV:  Communication score: 18 months: Complete cases,continuous,,,Denver Developmental Checklist - Communication motor score based on complete cases,,,
ALSPAC,1.0.0,core,kd679,,,DV:  Gross motor score: 18 months: Complete cases,continuous,,,Denver Developmental Checklist - Gross motor score based on complete cases,,,
ALSPAC,1.0.0,core,kd682,,,DV:  Fine motor score: 18 months: Prorated,continuous,,,Denver Developmental Checklist - Pro-rated fine motor score,,,
ALSPAC,1.0.0,core,kd683,,,DV:  Communication score: 18 months: Prorated,continuous,,,Denver Developmental Checklist - Pro-rated communication score,,,
ALSPAC,1.0.0,core,kd684,,,DV:  Gross motor score: 18 months: Prorated,continuous,,,Denver Developmental Checklist - Pro-rated gross motor score,,,
ALSPAC,1.0.0,core,kd990,,,Age at completion (months),continuous,month,,Child;s age in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,ke195a,,,Wkday exposure to smoking,categorical,,,Please indicate how often during the day your child is in a room or enclosed place where people are smoking (weekdays),,,
ALSPAC,1.0.0,core,ke196a,,,Wkend exposure to smoking,categorical,,,Please indicate how often during the day your child is in a room or enclosed place where people are smoking (weekend),,,
ALSPAC,1.0.0,core,ke995,,,Age in months at completion,continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,kf023,,,Child's age - months,continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,kf062,,,Child wheezed since 18 months old,categorical,,,Maternal report of child wheeze since 18 months old,,,
ALSPAC,1.0.0,core,kf090,,,Child had wheezing and whistling since 18 months old,binary,,,Maternal report of child wheezing or whistling since 18 months old,,,
ALSPAC,1.0.0,core,kf112,,,Child has rash at present,binary,,,Maternal reports of presence of rash on child,,,
ALSPAC,1.0.0,core,kf601,,,DV: Fine motor score: 30 months: Complete cases,continuous,,,Denver Developmental Checklist - Fine motor score based on complete cases,,,
ALSPAC,1.0.0,core,kf602,,,DV: Gross motor score: 30 months: Complete cases,continuous,,,Denver Developmental Checklist - Communication motor score based on complete cases,,,
ALSPAC,1.0.0,core,kf605,,,DV: Fine motor score: 30 months: Prorated,continuous,,,Denver Developmental Checklist - Pro-rated fine motor score,,,
